Far field
"Theta"[deg]	"ePlane [dBi]"	
6.30000000E+00	3.79748407E+00	
6.35000000E+00	4.81092837E+00	
6.40000000E+00	5.57568346E+00	
6.45000000E+00	6.13612249E+00	
6.50000000E+00	6.52147625E+00	
6.55000000E+00	6.75129991E+00	
6.60000000E+00	6.83857804E+00	
6.65000000E+00	6.79156413E+00	
6.70000000E+00	6.61491225E+00	
6.75000000E+00	6.31041256E+00	
6.80000000E+00	5.87754171E+00	
6.85000000E+00	5.31403194E+00	
6.90000000E+00	4.61675800E+00	
6.95000000E+00	3.78350488E+00	
7.00000000E+00	2.81676157E+00	
7.05000000E+00	1.73179580E+00	
7.10000000E+00	5.72695522E-01	
7.15000000E+00	-5.61259299E-01	
7.20000000E+00	-1.49264133E+00	
7.25000000E+00	-2.00211338E+00	
7.30000000E+00	-1.97057032E+00	
7.35000000E+00	-1.49133060E+00	
7.40000000E+00	-7.81773049E-01	
7.45000000E+00	-3.18089236E-02	
7.50000000E+00	6.46969618E-01	
7.55000000E+00	1.20221900E+00	
7.60000000E+00	1.61333970E+00	
7.65000000E+00	1.87391736E+00	
7.70000000E+00	1.98272057E+00	
7.75000000E+00	1.93946998E+00	
7.80000000E+00	1.74298787E+00	
7.85000000E+00	1.39062004E+00	
7.90000000E+00	8.78674686E-01	
7.95000000E+00	2.04400767E-01	
8.00000000E+00	-6.28771013E-01	
8.05000000E+00	-1.59875557E+00	
8.10000000E+00	-2.63809640E+00	
8.15000000E+00	-3.58980967E+00	
8.20000000E+00	-4.18398954E+00	
8.25000000E+00	-4.15476698E+00	
8.30000000E+00	-3.48631298E+00	
8.35000000E+00	-2.42962563E+00	
8.40000000E+00	-1.26031575E+00	
8.45000000E+00	-1.43723211E-01	
8.50000000E+00	8.48740554E-01	
8.55000000E+00	1.69463760E+00	
8.60000000E+00	2.39214701E+00	
8.65000000E+00	2.94663755E+00	
8.70000000E+00	3.36494575E+00	
8.75000000E+00	3.65305961E+00	
8.80000000E+00	3.81520519E+00	
8.85000000E+00	3.85345979E+00	
8.90000000E+00	3.76750299E+00	
8.95000000E+00	3.55431208E+00	
9.00000000E+00	3.20767030E+00	
9.05000000E+00	2.71734462E+00	
9.10000000E+00	2.06771059E+00	
9.15000000E+00	1.23541924E+00	
9.20000000E+00	1.85297580E-01	
9.25000000E+00	-1.13726459E+00	
9.30000000E+00	-2.82158926E+00	
9.35000000E+00	-5.02567680E+00	
9.40000000E+00	-8.06210061E+00	
9.45000000E+00	-1.26318144E+01	
9.50000000E+00	-1.91111112E+01	
9.55000000E+00	-1.54462576E+01	
9.60000000E+00	-1.00505216E+01	
9.65000000E+00	-6.66603474E+00	
9.70000000E+00	-4.34033361E+00	
9.75000000E+00	-2.63959334E+00	
9.80000000E+00	-1.35674851E+00	
9.85000000E+00	-3.79789584E-01	
9.90000000E+00	3.57609128E-01	
9.95000000E+00	8.97161482E-01	
1.00000000E+01	1.26604592E+00	
