Far field
"Theta"[deg]	"ePlane [dBi]"	
2.55000000E+00	1.40631319E+01	
2.60000000E+00	1.48696416E+01	
2.65000000E+00	1.54295543E+01	
2.70000000E+00	1.57701992E+01	
2.75000000E+00	1.59166475E+01	
2.80000000E+00	1.58898579E+01	
2.85000000E+00	1.57077756E+01	
2.90000000E+00	1.53874082E+01	
2.95000000E+00	1.49475438E+01	
3.00000000E+00	1.44122023E+01	
3.05000000E+00	1.38147425E+01	
3.10000000E+00	1.32016315E+01	
3.15000000E+00	1.26329665E+01	
3.20000000E+00	1.21749162E+01	
3.25000000E+00	1.18813440E+01	
3.30000000E+00	1.17717407E+01	
3.35000000E+00	1.18219269E+01	
3.40000000E+00	1.19760228E+01	
3.45000000E+00	1.21689923E+01	
3.50000000E+00	1.23438390E+01	
3.55000000E+00	1.24579951E+01	
3.60000000E+00	1.24823845E+01	
3.65000000E+00	1.23979049E+01	
3.70000000E+00	1.21920280E+01	
3.75000000E+00	1.18564852E+01	
3.80000000E+00	1.13863004E+01	
3.85000000E+00	1.07804338E+01	
3.90000000E+00	1.00447308E+01	
3.95000000E+00	9.19857096E+00	
4.00000000E+00	8.28702030E+00	
4.05000000E+00	7.39781921E+00	
4.10000000E+00	6.67076074E+00	
4.15000000E+00	6.26607063E+00	
4.20000000E+00	6.27361143E+00	
4.25000000E+00	6.64079313E+00	
4.30000000E+00	7.21530544E+00	
4.35000000E+00	7.84312549E+00	
4.40000000E+00	8.41856033E+00	
4.45000000E+00	8.88247841E+00	
4.50000000E+00	9.20497551E+00	
4.55000000E+00	9.37084520E+00	
4.60000000E+00	9.37055335E+00	
4.65000000E+00	9.19493074E+00	
4.70000000E+00	8.83164844E+00	
4.75000000E+00	8.26204159E+00	
4.80000000E+00	7.45700590E+00	
4.85000000E+00	6.37018150E+00	
4.90000000E+00	4.92473932E+00	
4.95000000E+00	2.98411306E+00	
5.00000000E+00	2.75492948E-01	
5.05000000E+00	-3.86635854E+00	
5.10000000E+00	-1.17270798E+01	
5.15000000E+00	-1.29970592E+01	
5.20000000E+00	-4.62796392E+00	
5.25000000E+00	-4.18782608E-01	
5.30000000E+00	2.24340563E+00	
5.35000000E+00	4.09732668E+00	
5.40000000E+00	5.43789303E+00	
5.45000000E+00	6.41039189E+00	
5.50000000E+00	7.09552539E+00	
5.55000000E+00	7.54116694E+00	
5.60000000E+00	7.77627652E+00	
5.65000000E+00	7.81762007E+00	
5.70000000E+00	7.67312966E+00	
5.75000000E+00	7.34345682E+00	
5.80000000E+00	6.82237640E+00	
5.85000000E+00	6.09630695E+00	
5.90000000E+00	5.14308347E+00	
5.95000000E+00	3.93038489E+00	
6.00000000E+00	2.41589642E+00	
6.05000000E+00	5.58997829E-01	
6.10000000E+00	-1.61311230E+00	
6.15000000E+00	-3.73939714E+00	
6.20000000E+00	-4.68451276E+00	
6.25000000E+00	-3.67901135E+00	
6.30000000E+00	-1.79826520E+00	
6.35000000E+00	-6.29005504E-03	
6.40000000E+00	1.45033290E+00	
6.45000000E+00	2.57188118E+00	
6.50000000E+00	3.40244714E+00	
6.55000000E+00	3.98350679E+00	
6.60000000E+00	4.34684398E+00	
6.65000000E+00	4.51562237E+00	
6.70000000E+00	4.50672634E+00	
6.75000000E+00	4.33313458E+00	
6.80000000E+00	4.00644086E+00	
6.85000000E+00	3.54007066E+00	
6.90000000E+00	2.95400552E+00	
6.95000000E+00	2.28187141E+00	
7.00000000E+00	1.58023950E+00	
7.05000000E+00	9.35929979E-01	
7.10000000E+00	4.58950857E-01	
7.15000000E+00	2.46295201E-01	
7.20000000E+00	3.28358389E-01	
7.25000000E+00	6.48225938E-01	
7.30000000E+00	1.09827929E+00	
7.35000000E+00	1.57243447E+00	
7.40000000E+00	1.99240452E+00	
7.45000000E+00	2.30832162E+00	
7.50000000E+00	2.48974400E+00	
7.55000000E+00	2.51660070E+00	
7.60000000E+00	2.37245835E+00	
7.65000000E+00	2.03957916E+00	
7.70000000E+00	1.49454810E+00	
7.75000000E+00	7.02999347E-01	
7.80000000E+00	-3.88785391E-01	
7.85000000E+00	-1.87007135E+00	
7.90000000E+00	-3.90205870E+00	
7.95000000E+00	-6.81494334E+00	
8.00000000E+00	-1.14274525E+01	
8.05000000E+00	-1.93508171E+01	
8.10000000E+00	-1.47857586E+01	
8.15000000E+00	-8.68365165E+00	
8.20000000E+00	-5.09536102E+00	
8.25000000E+00	-2.67806118E+00	
8.30000000E+00	-9.35681959E-01	
8.35000000E+00	3.54698567E-01	
8.40000000E+00	1.30980910E+00	
8.45000000E+00	1.99672889E+00	
8.50000000E+00	2.45587294E+00	
8.55000000E+00	2.71156058E+00	
8.60000000E+00	2.77720363E+00	
8.65000000E+00	2.65779147E+00	
8.70000000E+00	2.35073974E+00	
8.75000000E+00	1.84543056E+00	
8.80000000E+00	1.12126650E+00	
8.85000000E+00	1.43428813E-01	
8.90000000E+00	-1.14573664E+00	
8.95000000E+00	-2.84505759E+00	
9.00000000E+00	-5.13814057E+00	
9.05000000E+00	-8.41687762E+00	
9.10000000E+00	-1.37291332E+01	
9.15000000E+00	-2.23745208E+01	
9.20000000E+00	-1.48589806E+01	
9.25000000E+00	-9.35582665E+00	
9.30000000E+00	-6.12322166E+00	
9.35000000E+00	-3.95482859E+00	
9.40000000E+00	-2.41407594E+00	
9.45000000E+00	-1.30104590E+00	
9.50000000E+00	-5.09528383E-01	
9.55000000E+00	2.21401863E-02	
9.60000000E+00	3.31460646E-01	
9.65000000E+00	4.41373817E-01	
9.70000000E+00	3.65206884E-01	
9.75000000E+00	1.09411563E-01	
9.80000000E+00	-3.24743882E-01	
9.85000000E+00	-9.39767542E-01	
9.90000000E+00	-1.73993507E+00	
9.95000000E+00	-2.72699760E+00	
1.00000000E+01	-3.88985784E+00	
