% Model:              electrostatically actuated reflector 50-cm.mph
% Version:            COMSOL 6.3.0.335
% Date:               Jun 9 2025, 23:48
% Dimension:          1
% Nodes:              674
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Displacement field, Z-component
0.10021391923395381       -17.968444682877813
0.10206257844878482       -17.785569073891793
0.10402604069604149       -17.589220435337808
0.10578058544611939       -17.412541188672535
0.10799518043333639       -17.187155150845832
0.10948229839756683       -17.03450123966002
0.11279209330428625       -16.693806080628853
0.1131604643832097        -16.655396421321697
0.11437179038742876       -16.528747787059903
0.1168378363926185        -16.267916880381694
0.11758775808013905       -16.188384502273372
0.12051447799853708       -15.87408987014955
0.12238221588361095       -15.672983847694635
0.1241904505598524        -15.475872044324872
0.1273560176331713        -15.131565729039137
0.1274213438134802        -15.124330669890895
0.12753531095065077       -15.11179213791818
0.1306515927673857        -14.763506463399574
0.13243789086135432       -14.565174983398407
0.1338814679666797        -14.402026754295523
0.13639967990217133       -14.119275192604908
0.1371109155677909        -14.038174541333829
0.1375186438251612        -13.991981393809358
0.14060461209169745       -13.639386970423985
0.14110796569056688       -13.581726481406232
0.1411946128744208        -13.571807609563272
0.1446967249545799        -13.166011533761415
0.14540104651733388       -13.084455742207725
0.14703019562675332       -12.894790720460449
0.1484378590874578        -12.730294310954582
0.14925006622331471       -12.635291362448235
0.1514743486746617        -12.37358629904891
0.15403831380054214       -12.071629817138476
0.15451055341332096       -12.015688851997687
0.1553290347086582        -11.918641488137766
0.15754642138147498       -11.654754148927516
0.15882578235364048       -11.502357248336828
0.16058198533620036       -11.291947963063034
0.1636124732073591        -10.928530240500635
0.16361604347385028       -10.928099557101149
0.16362196581130747       -10.927388743663643
0.1652672054678142        -10.728976935544402
0.1669143107040666        -10.530385735766393
0.166918132528033         -10.529923865126621
0.1669219500541847        -10.529462619522935
0.1685689746298949        -10.329998444983985
0.17021786702898625       -10.130353683045945
0.17021975907882247       -10.130124065504502
0.170221649000711         -10.129894758479354
0.17187045853736604       -9.929376253237184
0.1735210626518907        -9.728685140805743
0.17352110037437846       -9.728680543599175
0.17352114809253544       -9.728674713574858
0.17769413403838308       -9.21878866922934
0.17769418735121786       -9.218782121199903
0.18186670854957745       -8.706255179524055
0.18186675775721745       -8.706249103884586
0.18603882390794713       -8.191080074161613
0.18603885931115854       -8.191075680047701
0.1902105725112573        -7.673259858771266
0.19021059430650633       -7.673257139211862
0.19438186288699918       -7.152823309218645
0.19438188409629373       -7.152820649178031
0.19855269503440479       -6.629770425883601
0.19855272397593474       -6.6297667800480005
0.20214009480646575       -6.1778152205548444
0.2021401304964004        -6.177810706904065
0.20572717799782228       -5.724120712750214
0.20572721206300645       -5.724116387679925
0.2093139446084661        -5.268686902179083
0.20931396867621763       -5.268683834486461
0.21290069641884618       -4.8115279635144
0.2129007117330341        -4.811526004004291
0.216487133836784         -4.352662463672398
0.21648714689441392       -4.3526607865373474
0.2200732568602636        -3.8920904028785897
0.22007327092196358       -3.8920885916639283
0.22298794524923787       -3.51663182401825
0.22298796051142342       -3.5166298534832956
0.22590245808192108       -3.140299861789264
0.22590247113338066       -3.1402981726732593
0.22881679535831004       -2.763094516077264
0.228816802787906         -2.7630935522565827
0.23173082450314844       -2.385065090560562
0.23173082726057392       -2.3850647320057696
0.23464468051531936       -2.0061911122264147
0.23464468223327345       -2.006190888325396
0.23755836339516212       -1.6264725810062501
0.2375583695315896        -1.6264717805158893
0.23963209169805946       -1.3555802039287252
0.24170577613959587       -1.0849132398565497
0.2417057802474629        -1.0849127029361196
0.24170578435554366       -1.0849121664229548
0.2437794062250049        -0.8137215010249981
0.24585299038657735       -0.5427554458242291
0.2458529924490754        -0.5427551759340521
0.24585299451168074       -0.5427549062483467
0.24792651610126226       -0.2712651491861817
0.25                      0
-0.25                     0
-0.2479359932096346       -0.35314967896497035
-0.24587184941180978      -0.7059618205525254
-0.24380752166278882      -1.0574808655504098
-0.24174306166739865      -1.4086615632797068
-0.24174305690625852      -1.4086623720983862
-0.2417430521455097       -1.4086631800186125
-0.23967840819864555      -1.7585507842970773
-0.23761363655010037      -2.108099276654635
-0.23761362248336768      -2.1081016548196136
-0.2376136126022973       -2.1081033188685927
-0.23471227587613713      -2.596732054005306
-0.23471226524328923      -2.59673383332801
-0.23181039253576727      -3.0823602950237396
-0.2318103807098552       -3.082362261398011
-0.22890797246225753      -3.5649863778653637
-0.22890795900189495      -3.564988601676625
-0.22600500625904688      -4.04456788802316
-0.22600499264121252      -4.044570123069162
-0.22310149587075653      -4.521095640780773
-0.22310148214127248      -4.521097879291949
-0.22019744129742738      -4.994569636167624
-0.22019742432647782      -4.994572379310149
-0.2166241160867751       -5.572173720964396
